,index,date,rank,song,artist,last-week,peak-rank,weeks-on-board,release_year,count
1798,2331,1989,83,Love Song,The Cure,62.0,2,17,1989,1
1822,2355,1989,96,Angel Eyes,The Jeff Healey Band,71.0,5,22,1989,1
1823,2356,1989,89,Once Bitten Twice Shy,Great White,81.0,5,26,1989,1
1845,2379,1989,83,So Alive,Love And Rockets,73.0,3,20,1989,1
1855,2389,1989,91,Close My Eyes Forever,Lita Ford (Duet With Ozzy Osbourne),89.0,8,25,1989,1
1881,2415,1989,92,Where Are You Now?,Jimmy Harnen With Synch,89.0,10,36,1989,1
1882,2416,1989,98,"Rock On (From ""Dream A Little Dream"")",Michael Damian,70.0,1,21,1989,1
1883,2417,1989,98,Cry,Waterfront,66.0,10,17,1989,1
1891,2426,1989,88,Second Chance,Thirty Eight Special,68.0,6,21,1989,1
1899,2434,1989,90,Heaven Help Me,Deon Estus With George Michael,73.0,5,16,1989,1
1917,2452,1989,99,Walk The Dinosaur,Was (Not Was),78.0,7,16,1989,1
1927,2463,1989,84,When I'm With You,Sheriff,76.0,1,28,1989,1
1943,2480,1989,91,I Remember Holding You,Boys Club,83.0,8,21,1989,1
1959,2496,1989,86,Waiting For A Star To Fall,Boy Meets Girl,64.0,5,25,1989,1
1964,2502,1989,87,"Don't Worry, Be Happy (From ""Cocktail"")",Bobby McFerrin,69.0,1,26,1989,1
1992,2549,1988,86,Just Got Paid,Johnny Kemp,75.0,10,21,1988,1
1993,2550,1988,87,Do You Love Me,The Contours,71.0,3,34,1988,1
1994,2551,1988,100,Rush Hour,Jane Wiedlin,89.0,9,19,1988,1
2000,2557,1988,97,Nite And Day,Al B. Sure!,81.0,7,21,1988,1
2021,2582,1988,89,Shattered Dreams,Johnny Hates Jazz,69.0,2,19,1988,1
2022,2583,1988,91,Two Occasions,The Deele,74.0,10,21,1988,1
2032,2593,1988,85,Electric Blue,Icehouse,65.0,7,21,1988,1
2046,2608,1988,100,Don't Shed A Tear,Paul Carrack,91.0,9,24,1988,1
2047,2610,1988,99,I Want To Be Your Man,Roger,80.0,3,21,1988,1
2061,2624,1988,99,"Catch Me (I'm Falling) (From The Film ""Hiding Out"")",Pretty Poison,82.0,8,23,1988,1
2064,2628,1988,97,Breakout,Swing Out Sister,87.0,6,23,1988,1
2065,2629,1987,96,Casanova,Levert,67.0,5,18,1987,1
2077,2641,1987,93,Can't We Try,Dan Hill (Duet With Vonda Shepard),73.0,6,24,1987,1
2078,2642,1987,99,La Bamba,Los Lobos,69.0,1,21,1987,1
2079,2643,1987,94,Rock Steady,The Whispers,83.0,7,23,1987,1
2082,2646,1987,99,I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,77.0,1,14,1987,1
2083,2647,1987,94,Touch Of Grey,Grateful Dead,67.0,9,15,1987,1
2084,2648,1987,96,Heart And Soul,T'Pau,88.0,4,27,1987,1
2085,2649,1987,98,Luka,Suzanne Vega,85.0,3,19,1987,1
2098,2662,1987,91,Don't Disturb This Groove,The System,69.0,4,21,1987,1
2099,2663,1987,87,Funkytown,Pseudo Echo,58.0,6,15,1987,1
2100,2664,1987,96,You Keep Me Hangin' On,Kim Wilde,85.0,1,21,1987,1
2104,2668,1987,95,The Lady In Red,Chris de Burgh,85.0,3,26,1987,1
2105,2669,1987,100,Right On Track,The Breakfast Club,69.0,7,19,1987,1
2106,2671,1987,97,Lean On Me,Club Nouveau,73.0,1,17,1987,1
2111,2689,1987,97,Respect Yourself,Bruce Willis,66.0,5,14,1987,1
2112,2690,1987,100,(You Gotta) Fight For Your Right (To Party!),Beastie Boys,65.0,7,18,1987,1
2113,2691,1987,77,Keep Your Hands To Yourself,The Georgia Satellites,47.0,2,20,1987,1
2134,2713,1987,99,Shake You Down,Gregory Abbott,58.0,1,22,1987,1
2145,2724,1987,82,The Next Time I Fall,Peter Cetera With Amy Grant,58.0,1,21,1987,1
2146,2725,1987,100,Word Up,Cameo,65.0,6,21,1987,1
2150,2729,1987,95,The Rain,Oran 'Juice' Jones,76.0,9,19,1987,1
2151,2731,1986,93,Two Of Hearts,Stacey Q,71.0,3,22,1986,1
2152,2732,1986,100,Heartbeat,Don Johnson,71.0,5,15,1986,1
2162,2743,1986,82,"Take My Breath Away (Love Theme From ""Top Gun"")",Berlin,68.0,1,21,1986,1
2163,2744,1986,89,Walk This Way,Run-D.M.C.,57.0,4,16,1986,1
2164,2745,1986,91,Dreamtime,Daryl Hall,61.0,5,15,1986,1
2165,2746,1986,96,Baby Love,Regina,71.0,10,20,1986,1
2168,2749,1986,88,Rumors,Timex Social Club,68.0,8,19,1986,1
2169,2750,1986,98,We Don't Have To Take Our Clothes Off,Jermaine Stewart,89.0,5,22,1986,1
2175,2756,1986,98,"Who's Johnny (""Short Circuit"" Theme)",El DeBarge,87.0,3,19,1986,1
2176,2758,1986,96,Tuff Enuff,The Fabulous Thunderbirds,82.0,10,19,1986,1
2177,2759,1986,100,Something About You,Level 42,92.0,7,27,1986,1
2178,2760,1986,85,I Can't Wait,Nu Shooz,70.0,3,23,1986,1
2179,2761,1986,93,If You Leave,Orchestral Manoeuvres In The Dark,70.0,4,20,1986,1
2189,2771,1986,98,Your Love,The Outfield,81.0,6,22,1986,1
2190,2772,1986,95,Let's Go All The Way,Sly Fox,75.0,7,25,1986,1
2191,2773,1986,93,Tender Love,Force M.D.'s,81.0,10,19,1986,1
2192,2774,1986,88,Rock Me Amadeus,Falco,45.0,1,17,1986,1
2200,2782,1986,100,Life In A Northern Town,The Dream Academy,75.0,7,21,1986,1
2203,2786,1986,98,I Miss You,Klymaxx,75.0,5,29,1986,1
2238,2821,1986,79,Party All The Time,Eddie Murphy,58.0,2,22,1986,1
2241,2824,1986,82,Separate Lives,Phil Collins and Marilyn Martin,65.0,1,21,1986,1
2248,2831,1986,89,Election Day,Arcadia,67.0,6,16,1986,1
2267,2850,1986,100,Miami Vice Theme,Jan Hammer,97.0,1,22,1986,1
2268,2851,1986,99,Take On Me,a-ha,97.0,1,27,1986,1
2269,2853,1985,99,St. Elmo's Fire (Man In Motion),John Parr,92.0,1,22,1985,1
2282,2866,1985,73,Voices Carry,'Til Tuesday,62.0,8,21,1985,1
2286,2870,1985,95,Walking On Sunshine,Katrina And The Waves,87.0,9,21,1985,1
2287,2871,1985,92,In My House,Mary Jane Girls,64.0,7,22,1985,1
2288,2872,1985,95,Axel F,Harold Faltermeyer,92.0,3,19,1985,1
2289,2873,1985,100,We Are The World,USA For Africa,92.0,1,18,1985,1
2290,2874,1985,87,One Night In Bangkok,Murray Head,79.0,3,20,1985,1
2312,2896,1985,92,Lover Girl,Teena Marie,67.0,4,24,1985,1
2319,2903,1985,76,Relax,Frankie Goes To Hollywood,69.0,10,23,1985,1
2327,2911,1985,97,Easy Lover,Philip Bailey With Phil Collins,83.0,2,23,1985,1
2328,2912,1985,98,The Old Man Down The Road,John Fogerty,91.0,10,18,1985,1
2329,2913,1985,94,All I Need,Jack Wagner,76.0,2,22,1985,1
2330,2914,1985,99,I Feel For You,Chaka Khan,96.0,3,26,1985,1
2331,2915,1985,89,Sea Of Love,The Honeydrippers,82.0,3,20,1985,1
2332,2916,1985,99,Desert Moon,Dennis DeYoung,96.0,10,22,1985,1
2338,2923,1984,100,The Glamorous Life,Sheila E.,91.0,7,26,1984,1
2339,2924,1984,96,Missing You,John Waite,84.0,1,24,1984,1
2342,2928,1984,100,If Ever You're In My Arms Again,Peabo Bryson,94.0,10,25,1984,1
2343,2929,1984,95,I Can Dream About You,Dan Hartman,74.0,6,25,1984,1
2350,2936,1984,100,Breakin'...there's No Stopping Us,Ollie And Jerry,91.0,9,18,1984,1
2351,2937,1984,100,Almost Paradise...Love Theme From Footloose,Mike Reno And Ann Wilson,95.0,7,20,1984,1
2352,2938,1984,98,"Oh, Sherrie",Steve Perry,75.0,3,20,1984,1
2358,2944,1984,97,To All The Girls I've Loved Before,Julio Iglesias And Willie Nelson,91.0,5,21,1984,1
2364,2950,1984,98,They Don't Know,Tracey Ullman,77.0,8,17,1984,1
2371,2957,1984,89,Somebody's Watching Me,Rockwell,65.0,2,19,1984,1
2372,2958,1984,93,Got A Hold On Me,Christine McVie,83.0,10,16,1984,1
2373,2959,1984,98,99 Luftballons,Nena,94.0,2,23,1984,1
2374,2960,1984,91,Let The Music Play,Shannon,76.0,8,24,1984,1
2386,2972,1984,97,Owner Of A Lonely Heart,Yes,79.0,1,23,1984,1
2387,2973,1984,94,Talking In Your Sleep,The Romantics,82.0,3,26,1984,1
2388,2974,1984,95,Break My Stride,Matthew Wilder,91.0,5,29,1984,1
2393,2979,1984,99,Say Say Say,Paul McCartney And Michael Jackson,76.0,1,22,1984,1
2406,2992,1984,97,Islands In The Stream,Kenny Rogers Duet With Dolly Parton,72.0,1,25,1984,1
2407,2993,1984,73,Cum On Feel The Noize,Quiet Riot,65.0,5,21,1984,1
2410,2996,1984,100,Crumblin' Down,John Cougar Mellencamp,71.0,9,16,1984,1
2421,3007,1983,94,One Thing Leads To Another,The Fixx,94.0,4,19,1983,1
2422,3008,1983,98,Burning Down The House,Talking Heads,77.0,9,20,1983,1
2423,3009,1983,69,True,Spandau Ballet,41.0,4,18,1983,1
2424,3010,1983,97,The Safety Dance,Men Without Hats,78.0,3,24,1983,1
2428,3014,1983,98,Far From Over,Frank Stallone,74.0,10,16,1983,1
2429,3015,1983,100,Puttin' On The Ritz,Taco,73.0,4,21,1983,1
2430,3016,1983,89,Maniac,Michael Sembello,63.0,1,22,1983,1
2437,3023,1983,79,Never Gonna Let You Go,Sergio Mendes,66.0,4,23,1983,1
2438,3024,1983,94,Electric Avenue,Eddy Grant,59.0,2,22,1983,1
2439,3025,1983,97,Our House,Madness,67.0,7,19,1983,1
2445,3031,1983,98,Too Shy,Kajagoogoo,59.0,5,19,1983,1
2446,3032,1983,100,She's A Beauty,The Tubes,79.0,10,20,1983,1
2447,3033,1983,89,Always Something There To Remind Me,Naked Eyes,76.0,8,22,1983,1
2448,3034,1983,92,She Blinded Me With Science,Thomas Dolby,76.0,5,22,1983,1
2453,3040,1983,87,Jeopardy,Greg Kihn Band,65.0,2,22,1983,1
2454,3041,1983,97,Come On Eileen,Dexys Midnight Runners,87.0,1,23,1983,1
2455,3042,1983,92,We've Got Tonight,Kenny Rogers And Sheena Easton,84.0,6,18,1983,1
2456,3043,1983,99,Twilight Zone,Golden Earring,85.0,10,27,1983,1
2457,3047,1983,90,"Baby, Come To Me",Patti Austin A Duet With James Ingram,76.0,1,32,1983,1
2458,3048,1983,95,You And I,Eddie Rabbitt With Crystal Gayle,81.0,7,29,1983,1
2459,3049,1983,99,Pass The Dutchie,Musical Youth,92.0,10,18,1983,1
2474,3064,1983,93,Rock The Casbah,The Clash,76.0,8,24,1983,1
2475,3065,1983,96,Mickey,Toni Basil,88.0,1,27,1983,1
2476,3066,1983,97,The Girl Is Mine,Michael Jackson And Paul McCartney,91.0,2,18,1983,1
2487,3077,1983,94,Steppin' Out,Joe Jackson,94.0,6,27,1983,1
2488,3078,1983,91,Up Where We Belong,Joe Cocker And Jennifer Warnes,58.0,1,23,1983,1
2503,3093,1982,98,Eye In The Sky,The Alan Parsons Project,95.0,3,25,1982,1
2513,3103,1982,99,I Ran (So Far Away),A Flock Of Seagulls,96.0,9,22,1982,1
2522,3115,1982,99,Let It Whip,Dazz Band,89.0,5,23,1982,1
2527,3120,1982,94,Caught Up In You,38 Special,52.0,10,17,1982,1
2528,3121,1982,99,Ebony And Ivory,Paul McCartney And Stevie Wonder,92.0,1,19,1982,1
2529,3122,1982,94,Always On My Mind,Willie Nelson,65.0,5,23,1982,1
2530,3123,1982,96,867-5309/jenny,Tommy Tutone,87.0,4,27,1982,1
2531,3124,1982,93,I've Never Been To Me,Charlene,88.0,3,23,1982,1
2534,3127,1982,97,Chariots Of Fire - Titles,Vangelis,95.0,1,28,1982,1
2537,3130,1982,99,Key Largo,Bertie Higgins,66.0,8,29,1982,1
2548,3142,1982,76,Harden My Heart,Quarterflash,48.0,3,24,1982,1
2553,3147,1982,94,Hooked On Classics,Royal Philharmonic Orchestra,83.0,10,20,1982,1
2554,3154,1982,93,Leather And Lace,Stevie Nicks With Don Henley,68.0,6,19,1982,1
2555,3155,1982,96,Trouble,Lindsey Buckingham,88.0,9,19,1982,1
2556,3156,1982,93,The Theme From Hill Street Blues,Mike Post featuring Larry Carlton,77.0,10,22,1982,1
2560,3161,1981,100,Stop Draggin' My Heart Around,Stevie Nicks With Tom Petty And The Heartbreakers,77.0,3,21,1981,1
2567,3168,1981,95,(There's) No Gettin' Over Me,Ronnie Milsap,66.0,5,20,1981,1
2568,3169,1981,96,"Theme From ""Greatest American Hero"" (Believe It or Not)",Joey Scarbury,82.0,2,26,1981,1
2569,3170,1981,93,Boy From New York City,The Manhattan Transfer,69.0,7,21,1981,1
2576,3177,1981,99,Hearts,Marty Balin,90.0,8,21,1981,1
2577,3178,1981,100,Elvira,The Oak Ridge Boys,91.0,5,22,1981,1
2580,3182,1981,100,Medley,Stars On 45,100.0,1,21,1981,1
2585,3187,1981,98,Just The Two Of Us,"Grover Washington, Jr. With Bill Withers",86.0,2,24,1981,1
2600,3205,1981,94,Giving It Up For Your Love,Delbert McClinton,68.0,8,19,1981,1
2629,3234,1981,94,Never Knew Love Like This Before,Stephanie Mills,78.0,6,25,1981,1
2630,3235,1980,94,Xanadu,Olivia Newton-John And The Electric Light Orchestra,73.0,8,17,1980,1
2631,3236,1980,97,Lookin' For Love,Johnny Lee,78.0,5,21,1980,1
2637,3242,1980,96,One In A Million You,Larry Graham,83.0,9,20,1980,1
2638,3243,1980,88,Take Your Time (Do It Right) Part 1,The S.O.S. Band,77.0,3,21,1980,1
2639,3244,1980,99,Let My Love Open The Door,Pete Townshend,89.0,9,19,1980,1
2654,3259,1980,98,Tired Of Toein' The Line,Rocky Burnette,83.0,8,19,1980,1
2655,3260,1980,100,Steal Away,Robbie Dupree,90.0,6,23,1980,1
2656,3261,1980,96,Let Me Love You Tonight,Pure Prairie League,71.0,10,17,1980,1
2659,3264,1980,99,Funkytown,"Lipps, Inc.",95.0,1,23,1980,1
2662,3267,1980,94,Don't Fall In Love With A Dreamer,Kenny Rogers With Kim Carnes,68.0,4,19,1980,1
2663,3268,1980,97,Cars,Gary Numan,62.0,9,25,1980,1
2675,3280,1980,94,Another Brick In The Wall (Part II),Pink Floyd,94.0,1,25,1980,1
2694,3301,1980,98,The Second Time Around,Shalamar,83.0,8,23,1980,1
2701,3308,1980,92,"Yes, I'm Ready",Teri DeSario With K.C.,45.0,2,23,1980,1
2702,3315,1980,81,Don't Do Me Like That,Tom Petty And The Heartbreakers,80.0,10,18,1980,1
2709,3323,1980,95,You're Only Lonely,J.D. Souther,47.0,7,21,1980,1
2712,3326,1980,100,Pop Muzik,M,59.0,1,24,1980,1
