,Unnamed: 0,index,release_year,rank,song,artist,last-week,peak-rank,weeks-on-board,release_year.1,count,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0,81,2019,33,Without Me,Halsey,34.0,1,52,2019,1,7lQ8MOhq6IN2w8EYcFNSUk,0.908,0.669,7.0,-2.827,1.0,0.0738,0.00286,0.0,0.237,0.662,112.238,audio_features,7lQ8MOhq6IN2w8EYcFNSUk,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/audio-analysis/7lQ8MOhq6IN2w8EYcFNSUk,290320.0,4.0,
1,1,86,2018,46,Sad!,XXXTENTACION,45.0,1,38,2018,1,3ee8Jmje8o58CHK66QrVC2,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023,audio_features,3ee8Jmje8o58CHK66QrVC2,spotify:track:3ee8Jmje8o58CHK66QrVC2,https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2,https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2,166606.0,4.0,
2,2,89,2018,100,This Is America,Childish Gambino,95.0,1,17,2018,1,0b9oOr2ZgvyQu88wzixux9,0.854,0.463,5.0,-6.159,1.0,0.137,0.117,0.0,0.354,0.549,120.024,audio_features,0b9oOr2ZgvyQu88wzixux9,spotify:track:0b9oOr2ZgvyQu88wzixux9,https://api.spotify.com/v1/tracks/0b9oOr2ZgvyQu88wzixux9,https://api.spotify.com/v1/audio-analysis/0b9oOr2ZgvyQu88wzixux9,225773.0,4.0,
3,3,98,2017,47,Humble.,Kendrick Lamar,50.0,1,37,2017,1,7KXjTSCq5nL1LoYtL7XAwS,0.908,0.621,1.0,-6.638,0.0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,audio_features,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,177000.0,4.0,
4,4,115,2016,44,Panda,Desiigner,42.0,1,40,2016,1,5YEOzOojehCqxGQCcQiyR4,0.576,0.766,10.0,-4.943,0.0,0.449,0.028,1.68e-06,0.366,0.236,144.833,audio_features,5YEOzOojehCqxGQCcQiyR4,spotify:track:5YEOzOojehCqxGQCcQiyR4,https://api.spotify.com/v1/tracks/5YEOzOojehCqxGQCcQiyR4,https://api.spotify.com/v1/audio-analysis/5YEOzOojehCqxGQCcQiyR4,246761.0,4.0,
5,5,121,2016,48,Pillowtalk,Zayn,38.0,1,24,2016,1,0PDUDa38GO8lMxLCRc4lL1,0.584,0.7,11.0,-4.275,1.0,0.0456,0.117,0.0,0.0939,0.438,124.944,audio_features,0PDUDa38GO8lMxLCRc4lL1,spotify:track:0PDUDa38GO8lMxLCRc4lL1,https://api.spotify.com/v1/tracks/0PDUDa38GO8lMxLCRc4lL1,https://api.spotify.com/v1/audio-analysis/0PDUDa38GO8lMxLCRc4lL1,202747.0,4.0,
6,6,128,2016,49,Cheerleader,OMI,43.0,1,35,2016,1,023OVLNzXhX0j7CxswUt6D,0.78,0.68,4.0,-6.081,1.0,0.0305,0.141,1.2e-05,0.138,0.594,118.026,audio_features,023OVLNzXhX0j7CxswUt6D,spotify:track:023OVLNzXhX0j7CxswUt6D,https://api.spotify.com/v1/tracks/023OVLNzXhX0j7CxswUt6D,https://api.spotify.com/v1/audio-analysis/023OVLNzXhX0j7CxswUt6D,180560.0,4.0,
7,7,130,2015,49,All About That Bass,Meghan Trainor,47.0,1,47,2015,1,5jE48hhRu8E6zBDPRSkEq7,0.807,0.887,9.0,-3.726,1.0,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,audio_features,5jE48hhRu8E6zBDPRSkEq7,spotify:track:5jE48hhRu8E6zBDPRSkEq7,https://api.spotify.com/v1/tracks/5jE48hhRu8E6zBDPRSkEq7,https://api.spotify.com/v1/audio-analysis/5jE48hhRu8E6zBDPRSkEq7,187920.0,4.0,
8,8,131,2015,44,Rude,MAGIC!,45.0,1,41,2015,1,6RtPijgfPKROxEzTHNRiDp,0.773,0.758,1.0,-4.993,1.0,0.0381,0.0422,0.0,0.305,0.925,144.033,audio_features,6RtPijgfPKROxEzTHNRiDp,spotify:track:6RtPijgfPKROxEzTHNRiDp,https://api.spotify.com/v1/tracks/6RtPijgfPKROxEzTHNRiDp,https://api.spotify.com/v1/audio-analysis/6RtPijgfPKROxEzTHNRiDp,224840.0,4.0,
9,9,133,2014,43,All Of Me,John Legend,36.0,1,59,2014,1,3U4isOIWM3VvDubwSI3y7a,0.422,0.264,8.0,-7.064,1.0,0.0322,0.922,0.0,0.132,0.331,119.93,audio_features,3U4isOIWM3VvDubwSI3y7a,spotify:track:3U4isOIWM3VvDubwSI3y7a,https://api.spotify.com/v1/tracks/3U4isOIWM3VvDubwSI3y7a,https://api.spotify.com/v1/audio-analysis/3U4isOIWM3VvDubwSI3y7a,269560.0,4.0,
10,10,134,2014,50,Happy,Pharrell Williams,37.0,1,47,2014,1,27RYrbL6S02LNVhDWVl38b,0.321,0.64,2.0,-10.023,1.0,0.0324,0.28,0.0,0.718,0.414,146.172,audio_features,27RYrbL6S02LNVhDWVl38b,spotify:track:27RYrbL6S02LNVhDWVl38b,https://api.spotify.com/v1/tracks/27RYrbL6S02LNVhDWVl38b,https://api.spotify.com/v1/audio-analysis/27RYrbL6S02LNVhDWVl38b,214333.0,3.0,
11,11,150,2014,49,Royals,Lorde,44.0,1,44,2014,1,2dLLR6qlu5UJ5gk0dKz0h3,0.674,0.428,7.0,-9.504,1.0,0.122,0.121,0.0,0.132,0.337,84.878,audio_features,2dLLR6qlu5UJ5gk0dKz0h3,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,https://api.spotify.com/v1/tracks/2dLLR6qlu5UJ5gk0dKz0h3,https://api.spotify.com/v1/audio-analysis/2dLLR6qlu5UJ5gk0dKz0h3,190185.0,4.0,
12,12,157,2014,47,Wrecking Ball,Miley Cyrus,43.0,1,32,2014,1,2vwlzO0Qp8kfEtzTsCXfyE,0.53,0.422,5.0,-6.262,1.0,0.0342,0.407,0.0,0.107,0.349,119.964,audio_features,2vwlzO0Qp8kfEtzTsCXfyE,spotify:track:2vwlzO0Qp8kfEtzTsCXfyE,https://api.spotify.com/v1/tracks/2vwlzO0Qp8kfEtzTsCXfyE,https://api.spotify.com/v1/audio-analysis/2vwlzO0Qp8kfEtzTsCXfyE,221360.0,4.0,
13,13,166,2013,70,Harlem Shake,Baauer,64.0,1,20,2013,1,01XFgRZfZI7oBagNf1Loml,0.452,0.794,0.0,-5.151,1.0,0.0483,0.0111,0.00182,0.416,0.282,137.825,audio_features,01XFgRZfZI7oBagNf1Loml,spotify:track:01XFgRZfZI7oBagNf1Loml,https://api.spotify.com/v1/tracks/01XFgRZfZI7oBagNf1Loml,https://api.spotify.com/v1/audio-analysis/01XFgRZfZI7oBagNf1Loml,196664.0,4.0,
14,14,176,2013,48,Call Me Maybe,Carly Rae Jepsen,43.0,1,50,2013,1,3TGRqZ0a2l1LRblBkJoaDx,0.783,0.58,7.0,-6.548,1.0,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,audio_features,3TGRqZ0a2l1LRblBkJoaDx,spotify:track:3TGRqZ0a2l1LRblBkJoaDx,https://api.spotify.com/v1/tracks/3TGRqZ0a2l1LRblBkJoaDx,https://api.spotify.com/v1/audio-analysis/3TGRqZ0a2l1LRblBkJoaDx,193400.0,4.0,
15,15,185,2012,50,Sexy And I Know It,LMFAO,46.0,1,42,2012,1,0obBFrPYkSoBJbvHfUIhkv,0.707,0.861,7.0,-4.225,1.0,0.316,0.1,0.0,0.191,0.795,130.021,audio_features,0obBFrPYkSoBJbvHfUIhkv,spotify:track:0obBFrPYkSoBJbvHfUIhkv,https://api.spotify.com/v1/tracks/0obBFrPYkSoBJbvHfUIhkv,https://api.spotify.com/v1/audio-analysis/0obBFrPYkSoBJbvHfUIhkv,199480.0,4.0,
16,16,209,2011,38,Black And Yellow,Wiz Khalifa,34.0,1,25,2011,1,5A6OHHy73AR5tLxgTc98zz,0.684,0.834,2.0,-4.524,0.0,0.0675,0.0646,0.0,0.271,0.538,164.02,audio_features,5A6OHHy73AR5tLxgTc98zz,spotify:track:5A6OHHy73AR5tLxgTc98zz,https://api.spotify.com/v1/tracks/5A6OHHy73AR5tLxgTc98zz,https://api.spotify.com/v1/audio-analysis/5A6OHHy73AR5tLxgTc98zz,217667.0,4.0,
17,17,222,2010,47,Empire State Of Mind,Jay-Z + Alicia Keys,39.0,1,30,2010,1,2igwFfvr1OAGX9SKDCPBwO,0.491,0.956,11.0,-1.538,1.0,0.392,0.0295,0.0,0.46,0.811,173.585,audio_features,2igwFfvr1OAGX9SKDCPBwO,spotify:track:2igwFfvr1OAGX9SKDCPBwO,https://api.spotify.com/v1/tracks/2igwFfvr1OAGX9SKDCPBwO,https://api.spotify.com/v1/audio-analysis/2igwFfvr1OAGX9SKDCPBwO,276920.0,4.0,
18,18,224,2010,48,Fireflies,Owl City,38.0,1,31,2010,1,3DamFFqW32WihKkTVlwTYQ,0.512,0.662,3.0,-6.797,1.0,0.0439,0.0275,0.0,0.118,0.472,180.114,audio_features,3DamFFqW32WihKkTVlwTYQ,spotify:track:3DamFFqW32WihKkTVlwTYQ,https://api.spotify.com/v1/tracks/3DamFFqW32WihKkTVlwTYQ,https://api.spotify.com/v1/audio-analysis/3DamFFqW32WihKkTVlwTYQ,228347.0,4.0,
19,19,225,2010,49,Whatcha Say,Jason Derulo,46.0,1,32,2010,1,67T6l4q3zVjC5nZZPXByU8,0.615,0.711,11.0,-5.507,1.0,0.0779,0.0444,0.0,0.145,0.711,144.036,audio_features,67T6l4q3zVjC5nZZPXByU8,spotify:track:67T6l4q3zVjC5nZZPXByU8,https://api.spotify.com/v1/tracks/67T6l4q3zVjC5nZZPXByU8,https://api.spotify.com/v1/audio-analysis/67T6l4q3zVjC5nZZPXByU8,221253.0,4.0,
20,20,228,2009,48,Viva La Vida,Coldplay,45.0,1,51,2009,1,1mea3bSkSGXuIRvnydlB5b,0.486,0.617,5.0,-7.115,0.0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,audio_features,1mea3bSkSGXuIRvnydlB5b,spotify:track:1mea3bSkSGXuIRvnydlB5b,https://api.spotify.com/v1/tracks/1mea3bSkSGXuIRvnydlB5b,https://api.spotify.com/v1/audio-analysis/1mea3bSkSGXuIRvnydlB5b,242373.0,4.0,
21,21,232,2009,40,Whatever You Like,T.I.,35.0,1,31,2009,1,1IAzD1muglOxOcPbUHs70R,0.68,0.687,9.0,-6.162,0.0,0.0709,0.0161,0.0,0.261,0.467,150.053,audio_features,1IAzD1muglOxOcPbUHs70R,spotify:track:1IAzD1muglOxOcPbUHs70R,https://api.spotify.com/v1/tracks/1IAzD1muglOxOcPbUHs70R,https://api.spotify.com/v1/audio-analysis/1IAzD1muglOxOcPbUHs70R,249533.0,4.0,
22,22,233,2008,47,Bleeding Love,Leona Lewis,45.0,1,39,2008,1,7wZUrN8oemZfsEd1CGkbXE,0.638,0.656,5.0,-5.886,1.0,0.0357,0.188,0.0,0.146,0.225,104.036,audio_features,7wZUrN8oemZfsEd1CGkbXE,spotify:track:7wZUrN8oemZfsEd1CGkbXE,https://api.spotify.com/v1/tracks/7wZUrN8oemZfsEd1CGkbXE,https://api.spotify.com/v1/audio-analysis/7wZUrN8oemZfsEd1CGkbXE,262467.0,4.0,
23,23,242,2008,45,Crank That (Soulja Boy),Soulja Boy Tell'em,42.0,1,32,2008,1,66TRwr5uJwPt15mfFkzhbi,0.736,0.74,0.0,-2.18,1.0,0.0786,0.515,0.0,0.0468,0.803,140.141,audio_features,66TRwr5uJwPt15mfFkzhbi,spotify:track:66TRwr5uJwPt15mfFkzhbi,https://api.spotify.com/v1/tracks/66TRwr5uJwPt15mfFkzhbi,https://api.spotify.com/v1/audio-analysis/66TRwr5uJwPt15mfFkzhbi,221933.0,4.0,
24,24,243,2008,46,Stronger,Kanye West,38.0,1,27,2008,1,0j2T0R9dR9qdJYsB7ciXhf,0.617,0.717,10.0,-7.858,0.0,0.153,0.00564,0.0,0.408,0.49,103.992,audio_features,0j2T0R9dR9qdJYsB7ciXhf,spotify:track:0j2T0R9dR9qdJYsB7ciXhf,https://api.spotify.com/v1/tracks/0j2T0R9dR9qdJYsB7ciXhf,https://api.spotify.com/v1/audio-analysis/0j2T0R9dR9qdJYsB7ciXhf,311867.0,4.0,
25,25,245,2007,47,Hey There Delilah,Plain White T's,39.0,1,35,2007,1,4RCWB3V8V0dignt99LZ8vH,0.656,0.291,2.0,-10.572,1.0,0.0293,0.872,0.0,0.114,0.298,103.971,audio_features,4RCWB3V8V0dignt99LZ8vH,spotify:track:4RCWB3V8V0dignt99LZ8vH,https://api.spotify.com/v1/tracks/4RCWB3V8V0dignt99LZ8vH,https://api.spotify.com/v1/audio-analysis/4RCWB3V8V0dignt99LZ8vH,232533.0,4.0,
26,26,247,2007,50,Beautiful Girls,Sean Kingston,38.0,1,22,2007,1,1hGy2eLcmC8eKx7qr1tOqx,0.762,0.661,1.0,-6.075,0.0,0.0687,0.15,0.0,0.256,0.769,130.009,audio_features,1hGy2eLcmC8eKx7qr1tOqx,spotify:track:1hGy2eLcmC8eKx7qr1tOqx,https://api.spotify.com/v1/tracks/1hGy2eLcmC8eKx7qr1tOqx,https://api.spotify.com/v1/audio-analysis/1hGy2eLcmC8eKx7qr1tOqx,225373.0,4.0,
27,27,248,2007,43,Girlfriend,Avril Lavigne,31.0,1,24,2007,1,5PjdC2gMATetx5xdnwGUu7,0.541,0.382,7.0,-14.323,1.0,0.035,0.0215,0.000836,0.304,0.343,155.901,audio_features,5PjdC2gMATetx5xdnwGUu7,spotify:track:5PjdC2gMATetx5xdnwGUu7,https://api.spotify.com/v1/tracks/5PjdC2gMATetx5xdnwGUu7,https://api.spotify.com/v1/audio-analysis/5PjdC2gMATetx5xdnwGUu7,204991.0,4.0,
28,28,251,2007,46,This Is Why I'm Hot,Mims,30.0,1,23,2007,1,4Js2MCBgl8wupEjKewj0kT,0.674,0.756,1.0,-4.927,1.0,0.471,0.856,0.0,0.105,0.861,78.708,audio_features,4Js2MCBgl8wupEjKewj0kT,spotify:track:4Js2MCBgl8wupEjKewj0kT,https://api.spotify.com/v1/tracks/4Js2MCBgl8wupEjKewj0kT,https://api.spotify.com/v1/audio-analysis/4Js2MCBgl8wupEjKewj0kT,151406.0,4.0,
29,29,252,2007,48,Don't Matter,Akon,36.0,1,23,2007,1,6G8kHiVZ1jW7vHMPVRNZU0,0.822,0.318,10.0,-12.391,1.0,0.0575,0.493,0.0128,0.11,0.138,102.998,audio_features,6G8kHiVZ1jW7vHMPVRNZU0,spotify:track:6G8kHiVZ1jW7vHMPVRNZU0,https://api.spotify.com/v1/tracks/6G8kHiVZ1jW7vHMPVRNZU0,https://api.spotify.com/v1/audio-analysis/6G8kHiVZ1jW7vHMPVRNZU0,245787.0,4.0,
30,30,253,2007,42,Say It Right,Nelly Furtado,44.0,1,30,2007,1,2aI21FnmY7TJVKeMaoQZ0t,0.872,0.872,1.0,-6.328,1.0,0.139,0.0476,0.00112,0.0543,0.809,116.948,audio_features,2aI21FnmY7TJVKeMaoQZ0t,spotify:track:2aI21FnmY7TJVKeMaoQZ0t,https://api.spotify.com/v1/tracks/2aI21FnmY7TJVKeMaoQZ0t,https://api.spotify.com/v1/audio-analysis/2aI21FnmY7TJVKeMaoQZ0t,223080.0,4.0,
31,31,260,2006,49,Bad Day,Daniel Powter,49.0,1,32,2006,1,0mUyMawtxj1CJ76kn9gIZK,0.599,0.785,3.0,-4.013,1.0,0.0309,0.448,0.00336,0.151,0.52,140.046,audio_features,0mUyMawtxj1CJ76kn9gIZK,spotify:track:0mUyMawtxj1CJ76kn9gIZK,https://api.spotify.com/v1/tracks/0mUyMawtxj1CJ76kn9gIZK,https://api.spotify.com/v1/audio-analysis/0mUyMawtxj1CJ76kn9gIZK,233640.0,4.0,
32,32,263,2006,98,Do I Make You Proud,Taylor Hicks,78.0,1,8,2006,1,25bu6rqqBZrYXuLaZaCzVs,0.564,0.419,1.0,-10.8,1.0,0.0323,0.179,0.0,0.707,0.287,144.013,audio_features,25bu6rqqBZrYXuLaZaCzVs,spotify:track:25bu6rqqBZrYXuLaZaCzVs,https://api.spotify.com/v1/tracks/25bu6rqqBZrYXuLaZaCzVs,https://api.spotify.com/v1/audio-analysis/25bu6rqqBZrYXuLaZaCzVs,166520.0,4.0,
33,33,264,2006,49,You're Beautiful,James Blunt,45.0,1,38,2006,1,4IiU1zrJi73ZBfXpAiXIGx,0.675,0.479,0.0,-9.87,0.0,0.0278,0.633,1.81e-05,0.0881,0.454,81.993,audio_features,4IiU1zrJi73ZBfXpAiXIGx,spotify:track:4IiU1zrJi73ZBfXpAiXIGx,https://api.spotify.com/v1/tracks/4IiU1zrJi73ZBfXpAiXIGx,https://api.spotify.com/v1/audio-analysis/4IiU1zrJi73ZBfXpAiXIGx,209493.0,4.0,
34,34,265,2006,41,So Sick,Ne-Yo,30.0,1,25,2006,1,6brl7bwOHmGFkNw3MBqssT,0.452,0.574,6.0,-8.336,1.0,0.31,0.246,0.0,0.189,0.58,92.791,audio_features,6brl7bwOHmGFkNw3MBqssT,spotify:track:6brl7bwOHmGFkNw3MBqssT,https://api.spotify.com/v1/tracks/6brl7bwOHmGFkNw3MBqssT,https://api.spotify.com/v1/audio-analysis/6brl7bwOHmGFkNw3MBqssT,207187.0,4.0,
35,35,268,2006,47,Run It!,Chris Brown,44.0,1,38,2006,1,7xYnUQigPoIDAMPVK79NEq,0.846,0.482,1.0,-6.721,0.0,0.129,0.0246,0.0,0.393,0.212,100.969,audio_features,7xYnUQigPoIDAMPVK79NEq,spotify:track:7xYnUQigPoIDAMPVK79NEq,https://api.spotify.com/v1/tracks/7xYnUQigPoIDAMPVK79NEq,https://api.spotify.com/v1/audio-analysis/7xYnUQigPoIDAMPVK79NEq,229867.0,4.0,
36,36,270,2006,47,Laffy Taffy,D4L,42.0,1,26,2006,1,2ajhenDRiiAnCHHjsIOHhJ,0.891,0.439,7.0,-7.994,0.0,0.428,0.0351,0.0,0.0932,0.622,77.499,audio_features,2ajhenDRiiAnCHHjsIOHhJ,spotify:track:2ajhenDRiiAnCHHjsIOHhJ,https://api.spotify.com/v1/tracks/2ajhenDRiiAnCHHjsIOHhJ,https://api.spotify.com/v1/audio-analysis/2ajhenDRiiAnCHHjsIOHhJ,224253.0,4.0,
37,37,271,2005,45,Hollaback Girl,Gwen Stefani,40.0,1,31,2005,1,0LzrhCZFXW94Y8nwtTuRlw,0.926,0.916,10.0,-2.221,0.0,0.0929,0.35,6.17e-06,0.0234,0.904,110.007,audio_features,0LzrhCZFXW94Y8nwtTuRlw,spotify:track:0LzrhCZFXW94Y8nwtTuRlw,https://api.spotify.com/v1/tracks/0LzrhCZFXW94Y8nwtTuRlw,https://api.spotify.com/v1/audio-analysis/0LzrhCZFXW94Y8nwtTuRlw,199853.0,4.0,
38,38,272,2005,98,Inside Your Heaven,Carrie Underwood,94.0,1,12,2005,1,3w8xlZi49MQuQkyyB5bi5e,0.377,0.565,7.0,-4.74,1.0,0.0312,0.112,1.65e-06,0.204,0.14,134.542,audio_features,3w8xlZi49MQuQkyyB5bi5e,spotify:track:3w8xlZi49MQuQkyyB5bi5e,https://api.spotify.com/v1/tracks/3w8xlZi49MQuQkyyB5bi5e,https://api.spotify.com/v1/audio-analysis/3w8xlZi49MQuQkyyB5bi5e,225280.0,4.0,
39,39,274,2005,46,Let Me Love You,Mario,38.0,1,36,2005,1,0lYBSQXN6rCTvUZvg9S0lU,0.649,0.716,8.0,-5.371,1.0,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,audio_features,0lYBSQXN6rCTvUZvg9S0lU,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,https://api.spotify.com/v1/tracks/0lYBSQXN6rCTvUZvg9S0lU,https://api.spotify.com/v1/audio-analysis/0lYBSQXN6rCTvUZvg9S0lU,205947.0,4.0,
40,40,277,2005,41,My Boo,Usher And Alicia Keys,34.0,1,26,2005,1,6pcywuOeGGWeOQzdUyti6k,0.847,0.733,10.0,-6.439,0.0,0.16,0.00574,1.04e-05,0.151,0.202,130.029,audio_features,6pcywuOeGGWeOQzdUyti6k,spotify:track:6pcywuOeGGWeOQzdUyti6k,https://api.spotify.com/v1/tracks/6pcywuOeGGWeOQzdUyti6k,https://api.spotify.com/v1/audio-analysis/6pcywuOeGGWeOQzdUyti6k,193591.0,4.0,
41,41,278,2005,48,Lean Back,Terror Squad,31.0,1,31,2005,1,2Ozc0me9PV5vlt8cokwdvI,0.783,0.916,1.0,-3.344,1.0,0.415,0.11,0.0,0.0746,0.695,95.321,audio_features,2Ozc0me9PV5vlt8cokwdvI,spotify:track:2Ozc0me9PV5vlt8cokwdvI,https://api.spotify.com/v1/tracks/2Ozc0me9PV5vlt8cokwdvI,https://api.spotify.com/v1/audio-analysis/2Ozc0me9PV5vlt8cokwdvI,247427.0,4.0,
42,42,286,2004,98,I Believe,Fantasia,88.0,1,10,2004,1,3G7tRC24Uh09Hmp1KZ7LQ2,0.526,0.775,0.0,-6.05,1.0,0.0352,0.707,2.05e-05,0.217,0.962,80.106,audio_features,3G7tRC24Uh09Hmp1KZ7LQ2,spotify:track:3G7tRC24Uh09Hmp1KZ7LQ2,https://api.spotify.com/v1/tracks/3G7tRC24Uh09Hmp1KZ7LQ2,https://api.spotify.com/v1/audio-analysis/3G7tRC24Uh09Hmp1KZ7LQ2,167373.0,4.0,
43,43,295,2003,97,This Is The Night,Clay Aiken,98.0,1,16,2003,1,01YROQCnF1AQm7SCWJmD2o,0.569,0.508,7.0,-12.823,1.0,0.0502,0.768,0.0,0.145,0.647,167.624,audio_features,01YROQCnF1AQm7SCWJmD2o,spotify:track:01YROQCnF1AQm7SCWJmD2o,https://api.spotify.com/v1/tracks/01YROQCnF1AQm7SCWJmD2o,https://api.spotify.com/v1/audio-analysis/01YROQCnF1AQm7SCWJmD2o,196560.0,4.0,
44,44,297,2003,46,In Da Club,50 Cent,44.0,1,30,2003,1,4RY96Asd9IefaL3X4LOLZ8,0.902,0.72,6.0,-2.776,0.0,0.347,0.26,0.0,0.0749,0.805,90.059,audio_features,4RY96Asd9IefaL3X4LOLZ8,spotify:track:4RY96Asd9IefaL3X4LOLZ8,https://api.spotify.com/v1/tracks/4RY96Asd9IefaL3X4LOLZ8,https://api.spotify.com/v1/audio-analysis/4RY96Asd9IefaL3X4LOLZ8,193467.0,4.0,
45,45,301,2002,39,Hot In Herre,Nelly,35.0,1,26,2002,1,04KTF78FFg8sOHC1BADqbY,0.956,0.745,11.0,-4.753,0.0,0.12,0.206,0.0,0.0615,0.912,107.075,audio_features,04KTF78FFg8sOHC1BADqbY,spotify:track:04KTF78FFg8sOHC1BADqbY,https://api.spotify.com/v1/tracks/04KTF78FFg8sOHC1BADqbY,https://api.spotify.com/v1/audio-analysis/04KTF78FFg8sOHC1BADqbY,228240.0,4.0,
46,46,302,2002,49,Foolish,Ashanti,50.0,1,32,2002,1,6zMUIb4uce1CzpbjR3vMdN,0.665,0.695,0.0,-5.763,1.0,0.0532,0.347,0.0,0.106,0.707,90.119,audio_features,6zMUIb4uce1CzpbjR3vMdN,spotify:track:6zMUIb4uce1CzpbjR3vMdN,https://api.spotify.com/v1/tracks/6zMUIb4uce1CzpbjR3vMdN,https://api.spotify.com/v1/audio-analysis/6zMUIb4uce1CzpbjR3vMdN,227387.0,4.0,
